-log10pvalue	-log10qvalue	rank	basepairs
43.38	37.86	7850	55
43.36	37.84	7905	1
43.32	37.80	7906	13
43.30	37.78	7919	7
43.27	37.75	7926	1
43.26	37.74	7927	25
43.24	37.72	7952	1
43.23	37.71	7953	30
43.22	37.71	7983	8
43.16	37.65	7991	1
43.13	37.62	7992	33
43.11	37.60	8025	11
43.08	37.57	8036	24
43.05	37.54	8060	8
43.03	37.52	8068	7
43.02	37.51	8075	12
42.98	37.47	8087	1
42.93	37.42	8088	2
42.91	37.40	8090	157
42.84	37.34	8247	21
42.81	37.31	8268	6
42.80	37.30	8274	1
42.78	37.28	8275	7
42.71	37.21	8282	23
42.68	37.18	8305	14
42.65	37.15	8319	53
42.62	37.13	8372	8
42.52	37.03	8380	7
42.49	37.00	8387	1
42.44	36.95	8388	30
42.43	36.94	8418	1
42.41	36.92	8419	9
42.38	36.89	8428	8
42.37	36.88	8436	6
42.32	36.83	8442	13
42.24	36.75	8455	23
42.23	36.74	8478	3
42.20	36.71	8481	1
42.15	36.66	8482	50
42.13	36.64	8532	12
42.12	36.63	8544	1
42.11	36.62	8545	10
42.08	36.60	8555	2
42.05	36.57	8557	8
42.03	36.55	8565	133
41.99	36.51	8698	61
41.97	36.50	8759	28
41.96	36.49	8787	1
41.90	36.43	8788	37
41.89	36.42	8825	3
41.86	36.39	8828	13
41.84	36.37	8841	45
41.83	36.36	8886	2
41.82	36.35	8888	65
41.78	36.32	8953	8
41.77	36.31	8961	6
41.76	36.30	8967	33
41.70	36.24	9000	14
41.67	36.21	9014	2
41.64	36.18	9016	3
41.63	36.17	9019	4
41.60	36.14	9023	6
41.50	36.04	9029	3
41.48	36.02	9032	3
41.47	36.01	9035	2
41.46	36.00	9037	2
41.43	35.97	9039	15
41.37	35.91	9054	2
41.32	35.86	9056	15
41.30	35.84	9071	2
41.22	35.76	9073	6
41.18	35.72	9079	94
41.14	35.69	9173	21
41.09	35.64	9194	1
41.05	35.60	9195	12
41.04	35.59	9207	29
41.00	35.55	9236	2
40.99	35.54	9238	7
40.97	35.52	9245	9
40.96	35.51	9254	8
40.89	35.44	9262	3
40.86	35.41	9265	1
40.79	35.34	9266	5
40.76	35.31	9271	3
40.75	35.30	9274	4
40.72	35.27	9278	25
40.69	35.24	9303	50
40.68	35.23	9353	34
40.67	35.23	9387	114
40.65	35.21	9501	47
40.64	35.20	9548	7
40.61	35.17	9555	24
40.58	35.14	9579	16
40.56	35.13	9595	33
